round,loss,acc,prec,rec,f1
3,0.015320860992794439,0.9991749609423,0.7428571428571429,0.7959183673469388,0.7684729064039408
1,0.006987913964108515,0.999245177032317,0.8021978021978022,0.7448979591836735,0.7724867724867724
4,0.009231654886184371,0.9992802850773255,0.7878787878787878,0.7959183673469388,0.7918781725888325
2,0.009497024510018496,0.9991749609423,0.7339449541284404,0.8163265306122449,0.7729468599033816
5,0.01126265565873037,0.999245177032317,0.7722772277227723,0.7959183673469388,0.7839195979899497
3,0.012841658179268012,0.9992627310548212,0.78,0.7959183673469388,0.7878787878787878
6,0.010740314179648,0.9992802850773255,0.7878787878787878,0.7959183673469388,0.7918781725888325
4,0.010810063094824792,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
7,0.0076884444828742935,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
5,0.008614896168171446,0.999315393122334,0.8041237113402062,0.7959183673469388,0.8
8,0.013203337548974847,0.9992627310548212,0.78,0.7959183673469388,0.7878787878787878
6,0.0115773842017287,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
9,0.009174624850891922,0.9992276230098127,0.77,0.7857142857142857,0.7777777777777778
7,0.015156879402702531,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
10,0.014175610191330665,0.9992276230098127,0.77,0.7857142857142857,0.7777777777777778
8,0.013660519385555533,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
11,0.008097843104442878,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
9,0.013209324107540605,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
12,0.00975774098226958,0.999245177032317,0.7777777777777778,0.7857142857142857,0.7817258883248731
10,0.014249165681305756,0.9992978390998297,0.7959183673469388,0.7959183673469388,0.7959183673469388
13,0.011271208069953013,0.9992627310548212,0.7857142857142857,0.7857142857142857,0.7857142857142857
11,0.016166208451270585,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
14,0.005684664900646329,0.9992627310548212,0.7857142857142857,0.7857142857142857,0.7857142857142857
12,0.01457847587762047,0.9992978390998297,0.8020833333333334,0.7857142857142857,0.7938144329896907
15,0.007857814294074719,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
13,0.008099237367116362,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
16,0.006262348511966326,0.9992802850773255,0.7878787878787878,0.7959183673469388,0.7918781725888325
14,0.021729364353177214,0.9992978390998297,0.8020833333333334,0.7857142857142857,0.7938144329896907
17,0.0059800152847983784,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
15,0.017067978544277856,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
18,0.005752241504991112,0.9992627310548212,0.7916666666666666,0.7755102040816326,0.7835051546391752
16,0.012130639344645023,0.9992802850773255,0.7938144329896907,0.7857142857142857,0.7897435897435897
19,0.0038016748637075028,0.9992802850773255,0.8,0.7755102040816326,0.7875647668393783
17,0.009541696843508148,0.9992978390998297,0.8020833333333334,0.7857142857142857,0.7938144329896907
20,0.003558732500440676,0.9992802850773255,0.8,0.7755102040816326,0.7875647668393783
21,0.0007582188325517739,0.999315393122334,0.8172043010752689,0.7755102040816326,0.7958115183246073
22,0.0007278560048638767,0.999315393122334,0.8105263157894737,0.7857142857142857,0.7979274611398963
23,0.002227655793072274,0.9992627310548212,0.7916666666666666,0.7755102040816326,0.7835051546391752
24,0.004945441243792958,0.9992802850773255,0.8064516129032258,0.7653061224489796,0.7853403141361257
